key,0,1,2,3,4,5,6,7,8,9
#,BasePlate,TopBorder,BottomBorder,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,Name
int32,CharaCardBase,CharaCardHeader,CharaCardHeader,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,uint16,str
0,"0","0","0","0","0","0","0","0",0,"カスタム"
1,"1","1","0","1","1","0","0","0",1,"ベーシック"
2,"1","1","1","1","1","0","0","0",2,"シンプルモダン"
3,"1","1","1","1","0","0","0","0",3,"スタイリッシュ"
4,"1","1","1","1","1","0","0","0",4,"ポップ"
5,"1","0","1","1","1","1","0","0",5,"ロール：TANK"
6,"1","0","1","1","1","1","0","0",7,"ロール：DPS"
7,"1","0","1","1","1","1","0","0",6,"ロール：HEALER"
8,"1","1","1","1","1","1","1","1",8,"リムサ・ロミンサ"
9,"1","1","1","1","1","1","1","1",9,"グリダニア"
10,"1","1","1","1","1","1","1","1",10,"ウルダハ"
11,"1","1","1","1","1","1","1","1",11,"エクスプローラー"
12,"1","1","1","1","1","1","1","1",12,"アドベンチャラー"
13,"4","4","0","4","0","4","4","4",2500,"絶バハムート討滅戦"
14,"4","4","0","4","0","4","4","4",2501,"絶アルテマウェポン破壊作戦"
15,"4","4","0","4","0","4","4","4",2502,"絶アレキサンダー討滅戦"
16,"4","4","0","4","0","4","4","4",2503,"絶竜詩戦争"
17,"1","0","0","0","4","4","0","0",2400,"ヴァリアントダンジョン：シラディハ水道"
18,"3","3","3","0","0","0","0","3",2315,"友好部族クエスト：オミクロン族"
19,"1","0","0","0","0","0","1","0",13,"幾何学模様：サークル"
20,"1","0","0","0","1","0","0","1",14,"カフェ"
21,"7","7","7","0","0","0","0","7",15,"ミュージック"
22,"3","3","3","0","0","0","0","3",2311,"友好部族クエスト：ピクシー族"
23,"3","3","3","0","0","0","0","3",2312,"友好部族クエスト：キタリ族"
24,"3","3","3","0","0","0","0","3",2313,"友好部族クエスト：ドワーフ族"
25,"3","3","3","0","0","0","0","3",2314,"友好部族クエスト：アルカソーダラ族"
26,"3","3","3","0","0","0","0","3",2316,"友好部族クエスト：レポリット族"
27,"4","4","0","4","0","4","4","4",2504,"絶オメガ検証戦"
28,"4","0","0","0","0","4","0","0",2354,"ディープダンジョン：オルト・エウレカ1"
29,"4","0","0","0","0","4","0","0",2355,"ディープダンジョン：オルト・エウレカ2"
30,"3","0","0","0","0","0","3","0",2251,"クロニクルクエスト：四聖獣奇譚"
31,"8","0","0","0","0","0","8","8",2340,"無人島開拓1"
32,"8","0","0","0","0","0","8","8",2341,"無人島開拓2"
33,"3","3","3","0","0","0","0","3",2308,"友好部族クエスト：コウジン族"
34,"3","3","3","0","0","0","0","3",2309,"友好部族クエスト：アナンタ族"
35,"3","3","3","0","0","0","0","3",2310,"友好部族クエスト：ナマズオ族"
36,"3","0","0","3","0","3","3","3",2250,"時代の終焉"
37,"7","7","0","0","0","0","7","7",3950,"10周年記念"
38,"1","0","0","0","4","4","0","0",2401,"ヴァリアントダンジョン：六根山"
39,"8","8","0","8","0","8","8","8",2342,"世界を釣る者"
40,"8","8","0","8","0","8","8","8",2343,"太公望への道"
41,"8","8","8","8","0","0","8","8",2350,"月下の雀士"
42,"3","3","3","0","0","0","0","3",2305,"友好部族クエスト：バヌバヌ族"
43,"3","3","3","0","0","0","0","3",2306,"友好部族クエスト：グナース族"
44,"3","3","3","0","0","0","0","3",2307,"友好部族クエスト：モーグリ族"
45,"3","3","0","0","0","3","3","3",2252,"ミソロジー・オブ・エオルゼア：ハルオーネ"
46,"3","3","0","0","0","3","3","3",2253,"ミソロジー・オブ・エオルゼア：メネフィナ"
47,"3","3","0","0","0","3","3","3",2254,"ミソロジー・オブ・エオルゼア：サリャク"
48,"3","3","0","0","0","3","3","3",2255,"ミソロジー・オブ・エオルゼア：ニメーヤ"
49,"3","3","0","0","0","3","3","3",2256,"ミソロジー・オブ・エオルゼア：リムレーン"
50,"3","3","0","0","0","3","3","3",2257,"ミソロジー・オブ・エオルゼア：オシュオン"
51,"3","3","0","0","0","3","3","3",2258,"ミソロジー・オブ・エオルゼア：ビエルゴ"
52,"3","3","0","0","0","3","3","3",2259,"ミソロジー・オブ・エオルゼア：ラールガー"
53,"3","3","0","0","0","3","3","3",2260,"ミソロジー・オブ・エオルゼア：アーゼマ"
54,"3","3","0","0","0","3","3","3",2261,"ミソロジー・オブ・エオルゼア：ナルザル"
55,"3","3","0","0","0","3","3","3",2262,"ミソロジー・オブ・エオルゼア：ノフィカ"
56,"3","3","0","0","0","3","3","3",2263,"ミソロジー・オブ・エオルゼア：アルジク"
57,"3","3","0","0","0","3","3","0",2242,"タタルの大繁盛商店"
58,"1","0","0","0","4","4","0","0",2402,"ヴァリアントダンジョン：アロアロ島"
59,"8","8","0","8","0","8","8","8",2351,"クロの空想帳"
60,"8","8","0","8","0","8","8","8",2352,"ソーチョーの幻想盤"
61,"7","7","0","7","0","0","0","0",3951,"ブランダーヴィル1"
62,"7","7","0","7","0","0","0","0",3952,"ブランダーヴィル2"
63,"7","7","0","7","0","0","0","0",3953,"ブランダーヴィル3"
64,"7","7","0","7","0","0","7","7",3954,"妖怪ウォッチ ぷにぷに"
65,"3","3","3","0","0","0","0","3",2302,"友好部族クエスト：コボルド族"
66,"3","3","3","0","0","0","0","3",2301,"友好部族クエスト：シルフ族"
67,"3","3","3","0","0","0","0","3",2300,"友好部族クエスト：アマルジャ族"
68,"3","3","3","0","0","0","0","3",2303,"友好部族クエスト：サハギン族"
69,"3","3","3","0","0","0","0","3",2304,"友好部族クエスト：イクサル族"
70,"9","9","0","9","0","9","9","0",1000,"トライヨラ1"
71,"9","9","0","9","0","9","9","0",1001,"トライヨラ2"
72,"9","9","0","9","0","9","9","0",1002,"ソリューション・ナイン1"
73,"9","9","0","9","0","9","9","0",1003,"ソリューション・ナイン2"
74,"0","0","0","0","0","0","0","0",0,""
75,"0","0","0","0","0","0","0","0",0,""
76,"0","0","0","0","0","0","0","0",0,""
77,"0","0","0","0","0","0","0","0",0,""
78,"0","0","0","0","0","0","0","0",0,""
79,"0","0","0","0","0","0","0","0",0,""
80,"0","0","0","0","0","0","0","0",0,""
