key,0,1,2
#,LastQuest,FirstQuest,
int32,CompleteJournal,CompleteJournal,int32
0,"CompleteJournal#0","CompleteJournal#306",0
1,"CompleteJournal#306","CompleteJournal#521",1
2,"CompleteJournal#521","CompleteJournal#601",1
3,"CompleteJournal#601","CompleteJournal#695",1
4,"CompleteJournal#695","CompleteJournal#720",1
5,"CompleteJournal#720","CompleteJournal#739",1
6,"CompleteJournal#739","CompleteJournal#861",1
7,"CompleteJournal#861","CompleteJournal#901",1
8,"CompleteJournal#901","CompleteJournal#1008",1
9,"CompleteJournal#1008","CompleteJournal#1040",1
10,"CompleteJournal#1040","CompleteJournal#1059",1
11,"CompleteJournal#1059","CompleteJournal#1167",1
12,"CompleteJournal#1167","CompleteJournal#1214",1
13,"CompleteJournal#1214","CompleteJournal#1314",1
14,"CompleteJournal#1314","CompleteJournal#1329",1
15,"CompleteJournal#1329","CompleteJournal#1345",1
16,"CompleteJournal#1345","CompleteJournal#1351",1
17,"CompleteJournal#1351","CompleteJournal#1361",1
18,"CompleteJournal#1361","CompleteJournal#1376",1
19,"CompleteJournal#1376","CompleteJournal#1386",1
20,"CompleteJournal#1386","CompleteJournal#1393",1
21,"CompleteJournal#1393","CompleteJournal#1410",2
22,"CompleteJournal#1410","CompleteJournal#1422",1
23,"CompleteJournal#1422","CompleteJournal#1427",1
24,"CompleteJournal#1427","CompleteJournal#1445",1
25,"CompleteJournal#1445","CompleteJournal#1465",1
26,"CompleteJournal#1465","CompleteJournal#1471",1
27,"CompleteJournal#1471","CompleteJournal#1488",2
28,"CompleteJournal#1488","CompleteJournal#1498",1
29,"CompleteJournal#1498","CompleteJournal#1510",1
30,"CompleteJournal#1510","CompleteJournal#1514",1
31,"CompleteJournal#1514","CompleteJournal#1548",2
32,"CompleteJournal#1548","CompleteJournal#1582",2
33,"CompleteJournal#0","CompleteJournal#0",2
34,"CompleteJournal#1582","CompleteJournal#1617",2
35,"CompleteJournal#1617","CompleteJournal#1652",2
36,"CompleteJournal#1652","CompleteJournal#1687",2
37,"CompleteJournal#1687","CompleteJournal#1722",2
38,"CompleteJournal#1722","CompleteJournal#1764",2
39,"CompleteJournal#1764","CompleteJournal#1802",2
40,"CompleteJournal#1802","CompleteJournal#1828",2
41,"CompleteJournal#1828","CompleteJournal#1866",2
42,"CompleteJournal#1866","CompleteJournal#1897",2
43,"CompleteJournal#1897","CompleteJournal#1931",2
44,"CompleteJournal#1931","CompleteJournal#1966",2
45,"CompleteJournal#1966","CompleteJournal#2000",2
46,"CompleteJournal#2000","CompleteJournal#2040",2
47,"CompleteJournal#2040","CompleteJournal#2074",2
48,"CompleteJournal#2074","CompleteJournal#2108",2
49,"CompleteJournal#2108","CompleteJournal#2142",2
50,"CompleteJournal#2142","CompleteJournal#2176",2
51,"CompleteJournal#2176","CompleteJournal#2195",2
52,"CompleteJournal#2195","CompleteJournal#2203",2
53,"CompleteJournal#2203","CompleteJournal#2262",2
54,"CompleteJournal#2262","CompleteJournal#2333",2
55,"CompleteJournal#2333","CompleteJournal#2423",2
56,"CompleteJournal#2423","CompleteJournal#2473",2
57,"CompleteJournal#2473","CompleteJournal#2603",3
58,"CompleteJournal#2603","CompleteJournal#2721",3
59,"CompleteJournal#2721","CompleteJournal#2859",3
60,"CompleteJournal#2859","CompleteJournal#2942",3
61,"CompleteJournal#2942","CompleteJournal#2986",3
62,"CompleteJournal#2986","CompleteJournal#3009",3
63,"CompleteJournal#3009","CompleteJournal#3045",3
64,"CompleteJournal#3045","CompleteJournal#3218",3
65,"CompleteJournal#3218","CompleteJournal#3232",3
66,"CompleteJournal#3232","CompleteJournal#3339",3
67,"CompleteJournal#3339","CompleteJournal#3479",3
68,"CompleteJournal#3479","CompleteJournal#3499",3
69,"CompleteJournal#3499","CompleteJournal#3548",3
70,"CompleteJournal#3548","CompleteJournal#3605",3
71,"CompleteJournal#3605","CompleteJournal#3656",3
72,"CompleteJournal#3656","CompleteJournal#3701",3
73,"CompleteJournal#3701","CompleteJournal#3747",3
74,"CompleteJournal#3747","CompleteJournal#3766",3
75,"CompleteJournal#3766","CompleteJournal#3830",3
76,"CompleteJournal#3830","CompleteJournal#3874",3
77,"CompleteJournal#3874","CompleteJournal#3907",3
78,"CompleteJournal#3907","CompleteJournal#3927",3
79,"CompleteJournal#3927","CompleteJournal#3976",3
80,"CompleteJournal#3976","CompleteJournal#3996",3
81,"CompleteJournal#3996","CompleteJournal#4105",3
82,"CompleteJournal#4105","CompleteJournal#4164",3
83,"CompleteJournal#4164","CompleteJournal#4172",3
84,"CompleteJournal#4172","CompleteJournal#4232",2
85,"CompleteJournal#4232","CompleteJournal#4263",2
86,"CompleteJournal#4263","CompleteJournal#4439",2
87,"CompleteJournal#4439","CompleteJournal#4505",2
88,"CompleteJournal#4505","CompleteJournal#4522",2
89,"CompleteJournal#4522","CompleteJournal#4559",2
90,"CompleteJournal#4559","CompleteJournal#4596",2
91,"CompleteJournal#4596","CompleteJournal#4794",2
92,"CompleteJournal#4794","CompleteJournal#4942",2
93,"CompleteJournal#4942","CompleteJournal#5037",2
94,"CompleteJournal#5037","CompleteJournal#5052",2
95,"CompleteJournal#5052","CompleteJournal#5336",2
96,"CompleteJournal#5336","CompleteJournal#5354",2
97,"CompleteJournal#5354","CompleteJournal#5561",3
98,"CompleteJournal#5561","CompleteJournal#5691",3
99,"CompleteJournal#5691","CompleteJournal#5827",3
100,"CompleteJournal#5827","CompleteJournal#5947",3
101,"CompleteJournal#5947","CompleteJournal#6088",3
102,"CompleteJournal#6088","CompleteJournal#6228",3
103,"CompleteJournal#6228","CompleteJournal#6368",3
104,"CompleteJournal#6368","CompleteJournal#6508",3
105,"CompleteJournal#6508","CompleteJournal#6648",3
106,"CompleteJournal#6648","CompleteJournal#6788",3
107,"CompleteJournal#6788","CompleteJournal#6928",3
108,"CompleteJournal#6928","CompleteJournal#7068",3
109,"CompleteJournal#0","CompleteJournal#0",3
110,"CompleteJournal#0","CompleteJournal#0",3
111,"CompleteJournal#0","CompleteJournal#0",3
112,"CompleteJournal#0","CompleteJournal#0",3
113,"CompleteJournal#0","CompleteJournal#0",3
114,"CompleteJournal#0","CompleteJournal#0",3
115,"CompleteJournal#0","CompleteJournal#0",3
116,"CompleteJournal#0","CompleteJournal#0",3
117,"CompleteJournal#0","CompleteJournal#0",3
118,"CompleteJournal#0","CompleteJournal#0",3
119,"CompleteJournal#0","CompleteJournal#0",3
120,"CompleteJournal#0","CompleteJournal#0",3
121,"CompleteJournal#0","CompleteJournal#0",2
122,"CompleteJournal#7068","CompleteJournal#7134",2
123,"CompleteJournal#7134","CompleteJournal#7225",2
124,"CompleteJournal#7225","CompleteJournal#7305",2
125,"CompleteJournal#7305","CompleteJournal#7381",2
126,"CompleteJournal#7381","CompleteJournal#7442",2
127,"CompleteJournal#7442","CompleteJournal#7519",2
128,"CompleteJournal#7519",,2
129,"CompleteJournal#0","CompleteJournal#0",2
