key,0,1,2,3,4,5,6,7,8,9,10,11
#,Spot[0],Time[0],Spot[1],Time[1],Spot[2],Time[2],Image,,,TerritoryType,,Name
int32,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,IKDSpot,IKDTimeDefine,Image,uint32,uint32,TerritoryType,uint32,str
0,"","IKDTimeDefine#0","","IKDTimeDefine#0","","IKDTimeDefine#0",,0,0,,0,""
1,"","IKDTimeDefine#1","","IKDTimeDefine#2","","IKDTimeDefine#3","ui/icon/063000/063172.tex",0,0,"e0170",0,"メルトール海峡北行き"
2,"","IKDTimeDefine#2","","IKDTimeDefine#3","","IKDTimeDefine#1","ui/icon/063000/063172.tex",0,0,"g3fc",0,"メルトール海峡北行き"
3,"","IKDTimeDefine#3","","IKDTimeDefine#1","","IKDTimeDefine#2","ui/icon/063000/063172.tex",0,0,"g3d4",0,"メルトール海峡北行き"
4,"","IKDTimeDefine#1","","IKDTimeDefine#2","","IKDTimeDefine#3","ui/icon/063000/063171.tex",0,0,"z3fa",0,"ロータノ海行き"
5,"","IKDTimeDefine#2","","IKDTimeDefine#3","","IKDTimeDefine#1","ui/icon/063000/063171.tex",0,0,"f1bz",0,"ロータノ海行き"
6,"","IKDTimeDefine#3","","IKDTimeDefine#1","","IKDTimeDefine#2","ui/icon/063000/063171.tex",0,0,"z3r1",0,"ロータノ海行き"
7,"","IKDTimeDefine#1","","IKDTimeDefine#2","","IKDTimeDefine#3","ui/icon/063000/063173.tex",0,0,"e3c1",0,"緋汐海行き"
8,"","IKDTimeDefine#2","","IKDTimeDefine#3","","IKDTimeDefine#1","ui/icon/063000/063173.tex",0,0,"e3c2",0,"緋汐海行き"
9,"","IKDTimeDefine#3","","IKDTimeDefine#1","","IKDTimeDefine#2","ui/icon/063000/063173.tex",0,0,"e3c3",0,"緋汐海行き"
10,"","IKDTimeDefine#1","","IKDTimeDefine#2","","IKDTimeDefine#3","ui/icon/063000/063174.tex",0,0,"e3c4",0,"ロズリト湾行き"
11,"","IKDTimeDefine#2","","IKDTimeDefine#3","","IKDTimeDefine#1","ui/icon/063000/063174.tex",0,0,"e3c5",0,"ロズリト湾行き"
12,"","IKDTimeDefine#3","","IKDTimeDefine#1","","IKDTimeDefine#2","ui/icon/063000/063174.tex",0,0,"e3c6",0,"ロズリト湾行き"
13,"","IKDTimeDefine#1","","IKDTimeDefine#2","","IKDTimeDefine#3","ui/icon/063000/063175.tex",63176,11,"m5d1",68089,"無二江行き"
14,"","IKDTimeDefine#2","","IKDTimeDefine#3","","IKDTimeDefine#1","ui/icon/063000/063175.tex",63176,11,"",68089,"無二江行き"
15,"","IKDTimeDefine#3","","IKDTimeDefine#1","","IKDTimeDefine#2","ui/icon/063000/063175.tex",63176,11,"ec025",68089,"無二江行き"
16,"","IKDTimeDefine#1","","IKDTimeDefine#2","","IKDTimeDefine#3","ui/icon/063000/063177.tex",63178,11,"ec026",68089,"紅玉海行き"
17,"","IKDTimeDefine#2","","IKDTimeDefine#3","","IKDTimeDefine#1","ui/icon/063000/063177.tex",63178,11,"k5f1",68089,"紅玉海行き"
18,"","IKDTimeDefine#3","","IKDTimeDefine#1","","IKDTimeDefine#2","ui/icon/063000/063177.tex",63178,11,"m5f1",68089,"紅玉海行き"
