key,0,1,2,3,4,5,6,7
#,JobHudManual[0],JobHudManual[1],JobHudManual[2],,,,,
int32,JobHudManual,JobHudManual,JobHudManual,byte,byte,byte,byte,byte
0,"","","",0,0,0,0,0
1,"イベントアイテム","","",0,0,0,0,0
2,"イベントアイテム","イベントアイテム","",0,0,0,0,0
3,"イベントアイテム","","",0,0,0,0,0
4,"イベントアイテム","","",0,0,0,0,0
5,"イベントアイテム","イベントアイテム","",0,0,0,0,0
6,"イベントアクション","","",0,0,0,0,0
7,"イベントアイテム","イベントアクション","イベントアイテム",0,0,0,0,0
8,"イベントアクション","","",0,0,0,0,0
9,"イベントアクション","イベントアクション","イベントアイテム",0,0,0,0,0
10,"イベントアクション","イベントアクション","イベントアイテム",33,32,0,0,0
11,"イベントアクション","イベントアクション","",0,0,0,0,0
12,"イベントアクション","イベントアクション","イベントアクション",43,42,41,40,0
13,"スプリント","イベントアクション","イベントアクション",50,49,0,0,0
14,"イベントアイテム","イベントアイテム","イベントアイテム",0,0,0,0,0
15,"イベントアクション","イベントアイテム","",0,0,0,0,0
16,"イベントアイテム","イベントアイテム","",0,0,0,0,0
17,"イベントアイテム","イベントアイテム","イベントアクション",6,5,0,0,0
18,"イベントアイテム","イベントアイテム","",0,0,0,0,0
19,"イベントアイテム","イベントアクション","イベントアイテム",0,0,0,0,0
20,"イベントアクション","イベントアイテム","",0,0,0,0,0
21,"イベントアクション","イベントアクション","イベントアイテム",0,0,0,0,0
22,"イベントアクション","イベントアイテム","イベントアクション",54,0,0,0,0
23,"イベントアクション","イベントアクション","イベントアクション",0,0,0,0,0
24,"イベントアクション","イベントアクション","イベントアイテム",0,0,0,0,0
25,"イベントアクション","イベントアクション","イベントアクション",68,67,0,0,0
26,"スプリント","イベントアクション","イベントアクション",75,74,73,72,0
